x,y,mean_R,mean_G,mean_B,mean_T,variance_mean_R,variance_mean_G,variance_mean_B,variance_mean_T,mean_RGB_average,variance_mean_RGB_average,fine_RGB_average,coarse_RGB_average,fine_T,coarse_T
9,4,0.2560865650404095,0.25939809501110478,0.26554807924239571,0.47307571009930077,2.3165336938977511e-06,2.3179041877595797e-06,2.3222753033777768e-06,7.0227412767088377e-06,0.2603442464313041,2.3184221667773736e-06,0.25932436935479347,0.25932332314185225,0.47706005959617309,0.47706233920414098
10,4,0.015088531281241619,0.022087864666227669,0.035086626666916081,0.99990476928372063,1.6183688203327003e-09,1.6183588912354828e-09,1.6183427030351726e-09,8.6598141171992385e-12,0.024087674204795094,1.618356210227215e-09,0.024054481166332627,0.024054507581041693,0.99990366724969793,0.99990362057001914
11,4,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
12,4,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
13,4,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
14,4,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
15,4,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
0,5,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
1,5,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
2,5,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
3,5,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
4,5,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
5,5,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
6,5,0.019816950300818096,0.026642888098888325,0.039319629723876107,0.97513397115289635,7.1626076233299906e-08,7.1655372841312551e-08,7.1733480776532164e-08,9.1153649655560945e-08,0.028593156041194161,7.1665384066438608e-08,0.028643352014114238,0.028643845209122526,0.97546881644829364,0.97546172034196688
7,5,0.16593059043442551,0.16870354892894893,0.17385332899020678,0.39613692778905341,1.7056404198315276e-06,1.7074420770683954e-06,1.7125259747119593e-06,6.6844722119327529e-06,0.1694958227845271,1.7080771567787402e-06,0.17007788461789511,0.17007822016613658,0.39604707308436804,0.39604911486469169
8,5,0.2352730103768427,0.23797056157610411,0.24298029951758995,0.38536445703734151,2.1306319416745717e-06,2.1318891215311842e-06,2.1360208962218133e-06,6.9115849991453495e-06,0.23874129049017875,2.132372724305916e-06,0.23972898788163008,0.23972465871175527,0.38359033014287441,0.38359734085938818
9,5,0.26005984597232956,0.26343886073176553,0.26971417385643248,0.4827163942050699,2.3626398472496611e-06,2.364127311520628e-06,2.3687517439104847e-06,7.1615336299340595e-06,0.26440429352017597,2.364681208917673e-06,0.26477653770132165,0.26477674835760318,0.47978598731876615,0.47978472110214904
10,5,0.015034558297194247,0.022033741310272508,0.035032224048846386,0.99988328758260925,6.590967188328038e-10,6.5910091006790145e-10,6.5911099999496228e-10,8.8700182116754653e-12,0.024033507885437753,6.5910226722397226e-10,0.024068657246739511,0.024068688291865158,0.99987973381941486,0.99987967945233114
11,5,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
12,5,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
13,5,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
14,5,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
15,5,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
0,6,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
1,6,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
2,6,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
3,6,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
4,6,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
5,6,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
6,6,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
7,6,0.14311177158774485,0.14711624864971973,0.15455313462195847,0.57206815171067937,1.4544464125919464e-06,1.455853215311455e-06,1.4600909724132027e-06,6.2504749223245534e-06,0.14826038495314103,1.4563676674942004e-06,0.14937463431273076,0.14937595271661139,0.56940611869427626,0.56940067218960511
8,6,0.21803536087583231,0.22146098651525092,0.22782286270274277,0.48937509134548729,2.0976803689965565e-06,2.0993872532425868e-06,2.1043873451831974e-06,7.0390925197027042e-06,0.22243973669794226,2.1000016381210914e-06,0.22469369107034801,0.22469866858382126,0.4966602707816048,0.49665288711855682
9,6,0.20734809831518305,0.21175311522094054,0.21993386090306202,0.62928812939395018,2.2159401757208928e-06,2.2178664638692146e-06,2.2230361944701096e-06,6.1243781747809974e-06,0.21301169147972815,2.2185270707187415e-06,0.2136533814004242,0.21365658798367823,0.63104951615008731,0.63104442181236042
10,6,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
11,6,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
12,6,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
13,6,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
14,6,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
15,6,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
0,7,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
1,7,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
2,7,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
3,7,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
4,7,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
5,7,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
6,7,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
7,7,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
8,7,0.015016856882762161,0.02201675988150378,0.0350165797363097,0.99998614267737507,2.9120567649275147e-10,2.9120581357228103e-10,2.9120611329938551e-10,1.7365705500750791e-13,0.024016732166858547,2.9120585586368948e-10,0.02400774340572066,0.024007758602911312,0.99998553109991672,0.99998550270476538
9,7,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
10,7,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
11,7,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
12,7,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
13,7,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
14,7,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
15,7,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
0,8,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
1,8,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
2,8,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
3,8,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
4,8,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
5,8,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
6,8,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
7,8,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
8,8,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
9,8,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
10,8,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
11,8,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
12,8,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
13,8,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
14,8,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
15,8,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
