fixture,seed,samples_per_seed,channel,image_bias,image_rmse,expected_mc_rmse,image_mean_standard_error,quadrature_rmse,quadrature_mean_absolute,maximum_absolute
fusion,99991,8192,T,0.00011702128747735013,0.0017336710927701592,0.0015922147945007018,0.0001326845662083918,2.4942482621690146e-06,7.7778333782519168e-07,0.01313011397359376
fusion,4294967313,1024,RGB_average,-0.00058873840953625766,0.0053146419779789844,0.0049223801460971574,0.00041019834550809644,3.8232011288530265e-06,1.0481456144663489e-06,0.043830433582342121
fusion,4294967313,1024,T,0.00060408028556337221,0.0052191290395833152,0.0045099100349739046,0.00037582583624782537,2.4942482621690146e-06,7.7778333782519168e-07,0.03358296779860076
fusion,4294967313,8192,RGB_average,-8.3287854543475509e-06,0.0012488750556098802,0.0017475153472595627,0.00014562627893829688,3.8232011288530265e-06,1.0481456144663489e-06,0.0070231947673621842
fusion,4294967313,8192,T,0.00013563057574175597,0.001990198305050918,0.0015933332007100607,0.00013277776672583838,2.4942482621690146e-06,7.7778333782519168e-07,0.012229940467191447
fusion,combined-four-seeds,8192,RGB_average,-2.4596009694246653e-05,0.00074191975585176145,0.00087364090449068717,7.2803408707557273e-05,3.8232011288530265e-06,1.0481456144663489e-06,0.0042486467432485409
fusion,combined-four-seeds,1024,RGB_average,-1.5291916695164421e-05,0.0025284227113625771,0.0024679159330055333,0.00020565966108379444,3.8232011288530265e-06,1.0481456144663489e-06,0.015401858371720145
fusion,combined-four-seeds,8192,T,-5.4839971213994455e-05,0.00096779332030555193,0.00079632236947864497,6.6360197456553747e-05,2.4942482621690146e-06,7.7778333782519168e-07,0.007285179436117506
fusion,combined-four-seeds,1024,T,-0.00020607498565683062,0.0019219190960730616,0.0022514899454169246,0.00018762416211807705,2.4942482621690146e-06,7.7778333782519168e-07,0.013490161517272559
cut,17,1024,RGB_average,0.00046796638595839095,0.0034153505003784385,0.0032582673625833588,0.00027152228021527991,4.8001668322825626e-05,8.3000767043931543e-06,0.028995522874324775
cut,17,1024,T,-0.00025638476445248733,0.0029989176241320397,0.0029725123743467091,0.00024770936452889241,6.0959723810278366e-05,1.0613989504934375e-05,0.025443035033294703
cut,17,8192,RGB_average,-0.00025121415362326047,0.0011936734761502676,0.0011316176835312094,9.4301473627600779e-05,4.8001668322825626e-05,8.3000767043931543e-06,0.010356662675716222
cut,17,8192,T,-8.7168544289901076e-05,0.0011417943224476534,0.0010459182958833424,8.7159857990278539e-05,6.0959723810278366e-05,1.0613989504934375e-05,0.0081520722699158776
cut,42,1024,RGB_average,0.0004112755742814309,0.0029617823361114586,0.0032668536534713661,0.00027223780445594721,4.8001668322825626e-05,8.3000767043931543e-06,0.020479095160592431
cut,42,1024,T,-3.5563307164303282e-05,0.0024477927819800201,0.0029525990969513777,0.00024604992474594814,6.0959723810278366e-05,1.0613989504934375e-05,0.017577901867472101
cut,42,8192,RGB_average,-6.2244568357930377e-05,0.0011800629480618221,0.0011366488245753337,9.4720735381277805e-05,4.8001668322825626e-05,8.3000767043931543e-06,0.0090883369320484686
cut,42,8192,T,0.00014128400518314868,0.0010973645962795151,0.0010409617259543574,8.6746810496196442e-05,6.0959723810278366e-05,1.0613989504934375e-05,0.008283343125110032
cut,99991,1024,RGB_average,-0.00046668058151311015,0.003941600170197612,0.0031921003014653802,0.00026600835845544835,4.8001668322825626e-05,8.3000767043931543e-06,0.037657759621944842
cut,99991,1024,T,-0.000160557413910171,0.0032579079071528723,0.0029551246726577034,0.00024626038938814195,6.0959723810278366e-05,1.0613989504934375e-05,0.024541699038705289
cut,99991,8192,RGB_average,-3.8643947810978624e-05,0.00092609599739432364,0.001138082053005067,9.4840171083755581e-05,4.8001668322825626e-05,8.3000767043931543e-06,0.0055194931581991069
cut,99991,8192,T,0.00021051017034776615,0.0016352195689878029,0.0010382853062088945,8.6523775517407858e-05,6.0959723810278366e-05,1.0613989504934375e-05,0.015117575241955561
cut,4294967313,1024,RGB_average,-0.00041287863038784375,0.0035917468666085504,0.00317480616684351,0.0002645671805702925,4.8001668322825626e-05,8.3000767043931543e-06,0.032084997054622977
cut,4294967313,1024,T,-0.00027059082770357655,0.0045640042024195429,0.0029484466758199282,0.00024570388965166067,6.0959723810278366e-05,1.0613989504934375e-05,0.042891691584841185
cut,4294967313,8192,RGB_average,-0.00012483844445957445,0.00078117142887561047,0.0011349574553325152,9.4579787944376267e-05,4.8001668322825626e-05,8.3000767043931543e-06,0.0055967368821887575
cut,4294967313,8192,T,3.5921284077825794e-05,0.0010458459181674356,0.0010422433901340032,8.6853615844500264e-05,6.0959723810278366e-05,1.0613989504934375e-05,0.0074390167634816873
cut,combined-four-seeds,8192,RGB_average,-0.00011923527856293602,0.00062533088618301608,0.00056766453104342988,4.730537758695249e-05,4.8001668322825626e-05,8.3000767043931543e-06,0.0047155201570851513
cut,combined-four-seeds,1024,RGB_average,-7.9312915282615878e-08,0.0019868729443408718,0.0016116283987577225,0.00013430236656314354,4.8001668322825626e-05,8.3000767043931543e-06,0.014232900031289131
cut,combined-four-seeds,8192,T,7.5136728829710661e-05,0.00061214845286229559,0.00052092790155720608,4.3410658463100505e-05,6.0959723810278366e-05,1.0613989504934375e-05,0.0049386951809872182
cut,combined-four-seeds,1024,T,-0.00018077407830763205,0.0016338062041005904,0.0014785924657014665,0.00012321603880845552,6.0959723810278366e-05,1.0613989504934375e-05,0.012143846916125467
detail-17,17,1024,RGB_average,0.0001537980771342079,0.0025442163333463121,0.0027627060527022343,0.00023022550439185288,2.9904273425839479e-05,5.2301276797726391e-06,0.021658500328864738
detail-17,17,1024,T,-0.00013088680021013717,0.0023585101465721982,0.0021988676749373627,0.00018323897291144689,3.5228777155905576e-05,5.9822810262231812e-06,0.019611200927999506
detail-17,17,8192,RGB_average,-0.00025567889752800343,0.0011110200289704548,0.00095959007378206137,7.9965839481838452e-05,2.9904273425839479e-05,5.2301276797726391e-06,0.0079341996791245373
detail-17,17,8192,T,-1.5706450686392887e-05,0.00066159101695257335,0.00077153012824368334,6.4294177353640283e-05,3.5228777155905576e-05,5.9822810262231812e-06,0.0051867440479991256
detail-17,42,1024,RGB_average,0.00019279872694528844,0.0022077298966340243,0.0027844169815977636,0.00023203474846648028,2.9904273425839479e-05,5.2301276797726391e-06,0.021373251153159092
detail-17,42,1024,T,-0.00010868554192630664,0.0018338541807213732,0.0021805232052312983,0.0001817102671026082,3.5228777155905576e-05,5.9822810262231812e-06,0.01325128684721899
detail-17,42,8192,RGB_average,-0.00013064676904856856,0.0013304888270094183,0.00096629844944198589,8.0524870786832157e-05,2.9904273425839479e-05,5.2301276797726391e-06,0.0094535248738336075
detail-17,42,8192,T,5.6042356494886823e-05,0.00085770785678267072,0.0007693103528432783,6.4109196070273196e-05,3.5228777155905576e-05,5.9822810262231812e-06,0.0069767115035215266
detail-17,99991,1024,RGB_average,-0.00019286971299007518,0.0030039825532616389,0.0027355984317368118,0.00022796653597806764,2.9904273425839479e-05,5.2301276797726391e-06,0.020990285092432615
detail-17,99991,1024,T,-2.9153182005435541e-05,0.0026250881671520095,0.0021646682323526222,0.0001803890193627185,3.5228777155905576e-05,5.9822810262231812e-06,0.024026702169053116
detail-17,99991,8192,RGB_average,-6.4044236860900602e-05,0.0010710711668134726,0.00096847141530434055,8.0705951275361713e-05,2.9904273425839479e-05,5.2301276797726391e-06,0.0085843122553568296
detail-17,99991,8192,T,0.00013623752827497979,0.0011135409236098359,0.00076525147840785792,6.3770956533988147e-05,3.5228777155905576e-05,5.9822810262231812e-06,0.0082993210837694065
detail-17,4294967313,1024,RGB_average,-0.00046918307447675156,0.0040495154201594108,0.0026781698625246062,0.00022318082187705051,2.9904273425839479e-05,5.2301276797726391e-06,0.04160324794287959
detail-17,4294967313,1024,T,-7.7467176909872597e-05,0.0033147970174845958,0.002183219545787516,0.00018193496214895968,3.5228777155905576e-05,5.9822810262231812e-06,0.024612802137584433
detail-17,4294967313,8192,RGB_average,-1.7265416337583534e-05,0.00082641839958867984,0.00097073561180142844,8.0894634316785704e-05,2.9904273425839479e-05,5.2301276797726391e-06,0.0058804103295891363
